,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
963,Hubei,China,,30.9756,112.2707,68128,4512,63494.0,122.0,,115.13942876457665,,,6.622827618600283,15613,CHN,,
1103,Hubei,China,,30.9756,112.2707,68128,4512,63507.0,109.0,,115.13942876457665,,,6.622827618600283,15613,CHN,,
